,soggetto,Conceptual span tot,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,,,
102,4b17,21,3,2,2,2,1,2,2,1,3,3,,,
103,4b18,16,2,2,3,1,2,2,1,2,0,1,,,
104,4b19,14,2,1,1,1,1,0,3,2,2,1,,,
105,4b20,17,3,1,2,1,1,2,1,3,2,1,,,
106,4b21,14,2,1,1,2,2,1,1,2,0,2,,,
107,4b22,11,1,1,0,2,0,0,2,2,1,2,,,
108,4b23,16,2,2,1,1,3,2,1,2,2,0,,,
109,4b24,13,1,2,2,0,3,0,1,2,1,1,,,
110,4b25,17,2,2,1,1,1,2,2,2,1,3,,,
111,4b26,15,3,1,2,1,0,1,1,2,1,3,,,
112,4b27,12,2,2,1,1,1,1,1,1,1,1,,,
113,4b28,16,3,2,2,2,2,0,1,1,2,1,,,
114,4b29,11,3,1,0,1,1,2,1,2,0,0,,,
115,5a01,17,3,1,1,1,3,1,1,2,2,2,,,
116,5a02,10,2,2,2,0,1,0,1,0,1,1,,,
117,5a03,24,3,2,2,3,2,3,2,2,2,3,,,
118,5a04,21,2,1,2,1,3,3,2,2,3,2,,,
119,5a05,15,2,2,1,1,0,2,2,3,1,1,,,
120,5a06,18,3,3,0,1,2,0,2,2,3,2,,,
121,5a07,15,2,1,3,1,1,2,1,1,1,2,,,
122,5a08,14,2,1,2,1,0,1,2,2,1,2,,,
123,5a09,15,1,3,1,2,1,1,1,2,1,2,,,
124,5a10,21,1,1,3,0,2,3,2,3,3,3,,,
125,5a11,22,3,2,2,2,3,2,2,0,3,3,,,
126,5a12,11,1,3,0,1,2,1,1,0,1,1,,,
127,5a13,11,2,2,0,1,1,0,1,1,1,2,,,
128,5a14,16,3,3,1,0,1,2,2,2,1,1,,,
129,5a15,16,2,1,2,1,3,1,2,1,1,2,,,
130,5a16,15,3,2,2,1,2,1,2,0,0,2,,,
131,5a17,15,3,2,2,1,2,1,1,1,1,1,,,
132,5a18,12,2,3,1,0,1,0,2,2,0,1,,,
133,5a19,9,2,1,0,0,1,1,1,0,1,2,,,
134,5a20,17,2,2,1,2,1,2,1,2,1,3,,,
135,5a21,17,3,1,3,2,2,1,2,1,2,0,,,
136,5a22,13,2,2,1,0,1,1,2,2,1,1,,,
137,5a23,14,2,1,1,0,2,2,3,2,0,1,,,
138,5a24,22,2,1,3,2,2,2,3,2,3,2,,,
139,5a25,14,3,3,2,1,1,1,1,1,1,0,,,
140,5a26,15,2,2,0,1,2,1,1,1,2,3,,,
141,5a27,10,1,2,3,1,0,0,1,1,1,0,,,
142,5a28,18,2,2,1,1,3,2,1,2,2,2,,,
143,5a29,18,3,2,2,1,2,1,3,1,1,2,,,
144,5a30,16,3,2,2,2,0,2,0,2,1,2,,,
145,5b01,21,3,2,0,3,3,2,3,2,2,1,,,
146,5b02,16,2,1,1,0,3,1,1,3,2,2,,,
147,5b03,14,3,1,1,0,2,0,2,2,1,2,,,
148,5b04,16,3,1,1,3,3,2,2,0,0,1,,,
149,5b05,13,3,2,1,1,0,2,1,1,0,2,,,
